Fila PDF,ID,Nombre español,Nombre original,Alternativos originales,Punto personal,Significador,Disparador,Fórmula diurna propuesta,Fórmula nocturna propuesta,Reverse Nocturnal literal,Fuente primaria,Fuentes secundarias,Categorías originales,Dub.,Mult.,Variantes manuscritas,Estado,Advertencias
98,lusby-traditional-0098,Exilio A,Exile A,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Mars − Moon),reverse,O1,"MSP, MSV",Hellenistic,,Sí,1A,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
99,lusby-traditional-0099,Fama,Fame,Glory,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O2,"FM, MSR, MSP, MSV",Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
100,lusby-traditional-0100,Fama y reputación,Fame and Reputation,,Asc,MC,Sun,normalizar360(Asc + MC − Sun),normalizar360(Asc + MC − Sun),,FM,,Hellenistic,,,,pending_review,
101,lusby-traditional-0101,Labranza A,Farming A,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,O2,"O1, MSP",Hellenistic,,Sí,1B,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
102,lusby-traditional-0102,Labranza B,Farming B,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,MSR,MSV,Hellenistic,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
103,lusby-traditional-0103,Padre,Father,,Asc,Saturn,Sun,normalizar360(Asc + Saturn − Sun),normalizar360(Asc + Sun − Saturn),reverse,DS,"VV, PA, FM, O2, MSL, MSP, MSV, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,
104,lusby-traditional-0104,Padre (variante 1),Father (Alt 1),,Asc,Jupiter,Mars,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (GI),DS,"PA, SB, MSP, GI","Hellenistic, Medieval",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (GI). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
105,lusby-traditional-0105,Padre (variante 2),Father (Alt 2),,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,VV,"GI, Q","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
106,lusby-traditional-0106,Faltas y pasiones,Faults and Lusts,,Asc,Saturn,Moon,normalizar360(Asc + Saturn − Moon),normalizar360(Asc + Saturn − Moon),,FM,,Hellenistic,,,,pending_review,
107,lusby-traditional-0107,Hijas (Dorotheus),Female Children (Dorotheus),,Asc,Venus,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (MSL, Theophilus)",DS,"MSL, BA, SB, GI, Q","Hellenistic, Medieval",,,,conditional,"Regla nocturna especial: reverse (MSL, Theophilus). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
108,lusby-traditional-0108,Hijas (Valens),Female Children (Valens),,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Venus − Jupiter),,VV,,Hellenistic,,,,pending_review,
109,lusby-traditional-0109,Fuego,Fire,,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Mars − Sun),,B,,"Medieval, Weather",,,,pending_review,
110,lusby-traditional-0110,Lino,Flax,,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,B,,"Medieval, Commodity",,,,pending_review,
111,lusby-traditional-0111,Fortuna,Fortune,,Asc,Moon,Sun,normalizar360(Asc + Moon − Sun),normalizar360(Asc + Sun − Moon),reverse,DS,"VV, FM, PA, O2, MSL, MSP, MSV, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
112,lusby-traditional-0112,Riqueza encontrada,Found Wealth,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,GI,,Medieval,,,,pending_review,
113,lusby-traditional-0113,Libertos y sirvientes,Freedmen and Servants,,Mercury,Saturn,Jupiter,normalizar360(Mercury + Saturn − Jupiter),normalizar360(Mercury + Saturn − Jupiter),,B,,"Medieval, Horary",,,,pending_review,
114,lusby-traditional-0114,Libertad,Freedom,,Asc,Sun,Mercury,normalizar360(Asc + Sun − Mercury),normalizar360(Asc + Mercury − Sun),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
115,lusby-traditional-0115,Amigos,Friends,,Asc,Mercury,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (O1, MSL, BA, SB)",DS,"O1, MSL, BA, SB, GI, Q, R","Hellenistic, Medieval",,,1B,conditional,"Regla nocturna especial: reverse (O1, MSL, BA, SB). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
116,lusby-traditional-0116,Amigos (Firmicus),Friends (Firmicus),,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Mercury − Jupiter),,FM,,Hellenistic,,,,pending_review,
117,lusby-traditional-0117,Amigos (Olympiodorus 1) a,Friends (Olympiodorus 1) a,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,O1,,Hellenistic,,Sí,"1A, 1L",multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
118,lusby-traditional-0118,Amigos (Olympiodorus 1) B,Friends (Olympiodorus 1) B,,Asc,Saturn,Jupiter,normalizar360(Asc + Saturn − Jupiter),normalizar360(Asc + Jupiter − Saturn),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
119,lusby-traditional-0119,Amigos (Olympiodorus 2),Friends (Olympiodorus 2),,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O2,"MSR, MSP, MSV",Hellenistic,,,,pending_review,
120,lusby-traditional-0120,Abuelos,Grandfathers,,Asc,Saturn,Ruler Sun,normalizar360(Asc + Saturn − Ruler Sun),normalizar360(Asc + Ruler Sun − Saturn),reverse,GI,Q,Medieval,,,,pending_review,
121,lusby-traditional-0121,Abuelos (variante 1),Grandfathers (Alt 1),,Asc,Saturn,Sun,normalizar360(Asc + Saturn − Sun),normalizar360(Asc + Sun − Saturn),reverse,GI,Q,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
122,lusby-traditional-0122,Abuelos (variante 2),Grandfathers (Alt 2),,Asc,Saturn,0 Leo,normalizar360(Asc + Saturn − 0 Leo),normalizar360(Asc + 0 Leo − Saturn),reverse,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
123,lusby-traditional-0123,Uvas,Grapes,Wine,Asc,Venus,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
124,lusby-traditional-0124,Aflicción 1A,Grief 1A,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
125,lusby-traditional-0125,Aflicción 1B,Grief 1B,,Asc,Sun,Saturn,normalizar360(Asc + Sun − Saturn),normalizar360(Asc + Saturn − Sun),reverse,O1,"MSP, MSV",Hellenistic,,Sí,"1B, 1L",multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
126,lusby-traditional-0126,Felicidad y boda,Happiness and Wedding,Men's and Women's Marriage,Asc,Dsc,Venus,normalizar360(Asc + Dsc − Venus),normalizar360(Asc + Dsc − Venus),,DS,"BA, SB, GI, Q","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
127,lusby-traditional-0127,Patria A,Homeland A,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
128,lusby-traditional-0128,Patria B,Homeland B,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
129,lusby-traditional-0129,Patria C,Homeland C,,Asc,Mars,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (O1),O1,"MSL, MSP, MSV",Hellenistic,,Sí,1L,conditional,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales. | Regla nocturna especial: reverse (O1). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
130,lusby-traditional-0130,Miel,Honey,,Asc,Sun,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
131,lusby-traditional-0131,Esperanza,Hope,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,GI,R,Medieval,,,,pending_review,
132,lusby-traditional-0132,Identificación de las marcas de nacimiento de un profeta,Identifying Birthmarks of a Prophet,,Asc,Sun,Lord of Hour,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,RD,,"Medieval, Mundane",,,,unsupported_operand,Lord of Hour: El proyecto no dispone todavía de un cálculo validado de horas planetarias.
133,lusby-traditional-0133,Identificación de varones y mujeres,Identifying Males and Females,,Asc,Moon,Ruler Moon,normalizar360(Asc + Moon − Ruler Moon),normalizar360(Asc + Ruler Moon − Moon),reverse,SB,"GI, Q",Medieval,,,,pending_review,
134,lusby-traditional-0134,Enfermedad (antiguos),Illness (Ancients),,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mars − Mercury),,GI,,Medieval,,,,pending_review,
135,lusby-traditional-0135,Enfermedad (Dorotheus; versión china),Illness (Dorotheus - Chinese),,Asc,6th,Sun,normalizar360(Asc + 6th − Sun),normalizar360(Asc + 6th − Sun),,LJ,,Medieval,,,,pending_review,
136,lusby-traditional-0136,Enfermedad (Dorotheus),Illness (Dorotheus),,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,DS,"FM, HT, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,Códigos sin entrada inequívoca en Sources: HT. No se expandieron por suposición.
137,lusby-traditional-0137,Enfermedad (Laurentianus),Illness (Laurentianus),,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,MSL,MSP,Hellenistic,,,,pending_review,
138,lusby-traditional-0138,Encarcelamiento A,Imprisonment A,,Asc,Sun,Saturn,normalizar360(Asc + Sun − Saturn),normalizar360(Asc + Saturn − Sun),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
139,lusby-traditional-0139,Encarcelamiento B,Imprisonment B,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,O1,"MSP, MSV",Hellenistic,,Sí,1B,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
140,lusby-traditional-0140,Indecencia y lujuria,Indecency and Lust,,Asc,Venus,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,use both,FM,,Hellenistic,,,,conditional,Regla nocturna especial: use both. Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
141,lusby-traditional-0141,Guisantes de la India,Indian Peas,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Mars − Saturn),,Q,,"Medieval, Commodity",,,,pending_review,
142,lusby-traditional-0142,Herencia 1,Inheritance 1,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,O1,MSV,Hellenistic,,,,pending_review,
143,lusby-traditional-0143,Herencia 2,Inheritance 2,,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Jupiter − Mercury),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
144,lusby-traditional-0144,Lesión 1,Injury 1,,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,O1,MSP,Hellenistic,,,,pending_review,
145,lusby-traditional-0145,Lesión 2,Injury 2,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Mars − Saturn),,MSL,,Hellenistic,,,,pending_review,
146,lusby-traditional-0146,Lesión 3,Injury 3,,Mercury,Mars,Saturn,normalizar360(Mercury + Mars − Saturn),normalizar360(Mercury + Saturn − Mars),reverse,MSL,,Hellenistic,,,,pending_review,
147,lusby-traditional-0147,Perjuicio a los negocios,Injury to Business,,Asc,Fortune,Ruler Asc,normalizar360(Asc + Fortune − Ruler Asc),normalizar360(Asc + Fortune − Ruler Asc),,B,,"Medieval, Horary",,,,pending_review,
148,lusby-traditional-0148,Hierro,Iron,,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,B,,"Medieval, Commodity",,,,pending_review,
149,lusby-traditional-0149,Empleo y autoridad,Job & Authority,,Asc,MC,Sun,normalizar360(Asc + MC − Sun),normalizar360(Asc + MC − Sun),,Q,,Medieval,,,,pending_review,
150,lusby-traditional-0150,Juicio 1A,Judgment 1A,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
151,lusby-traditional-0151,Juicio 1B,Judgment 1B,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
152,lusby-traditional-0152,Juicio 1C,Judgment 1C,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,O1,"MSP, MSV",Hellenistic,,Sí,"1B, 1L",multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
153,lusby-traditional-0153,Juicio 2,Judgment 2,,Asc,Jupiter,Mars,normalizar360(Asc + Jupiter − Mars),normalizar360(Asc + Mars − Jupiter),reverse,MSR,"MSP, MSV",Hellenistic,,,,pending_review,
154,lusby-traditional-0154,Matanza,Killing,Decapitation,8th,Mars,Moon,normalizar360(8th + Mars − Moon),normalizar360(8th + Mars − Moon),,UT,B,"Medieval, Horary",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
155,lusby-traditional-0155,Parentesco,Kinship,,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Mercury − Jupiter),reverse,MSP,"MSR, MSV",Hellenistic,,,,pending_review,
156,lusby-traditional-0156,Conocimiento,Knowledge,Knowledge of the King,Asc,Jupiter,Moon,normalizar360(Asc + Jupiter − Moon),normalizar360(Asc + Moon − Jupiter),reverse,Q,,"Medieval, Mundane",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
157,lusby-traditional-0157,Conocimiento y meditación,Knowledge & Meditation,Wisdom & Understanding,Mercury,Jupiter,Saturn,normalizar360(Mercury + Jupiter − Saturn),normalizar360(Mercury + Saturn − Jupiter),reverse,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
158,lusby-traditional-0158,Conocimiento y meditación (al-Qabīṣī),Knowledge & Meditation (al-Qabīṣī),,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Jupiter − Saturn),,Q,,Medieval,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
159,lusby-traditional-0159,Pleito,Lawsuit,,Asc,Mercury,Mars,normalizar360(Asc + Mercury − Mars),normalizar360(Asc + Mercury − Mars),,B,,"Medieval, Horary",,,,pending_review,
160,lusby-traditional-0160,Lentejas,Lentils,,Asc,Saturn,Mars,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
161,lusby-traditional-0161,Vida 1,Life 1,Livelihood,Asc,Saturn,Jupiter,normalizar360(Asc + Saturn − Jupiter),normalizar360(Asc + Jupiter − Saturn),reverse,O2,"O1, MSL, MSR, MSP, MSV, SB, GI, Q, R","Hellenistic, Medieval",,,1B,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
162,lusby-traditional-0162,Vida 2a,Life 2a,,Asc,Venus,Moon,normalizar360(Asc + Venus − Moon),normalizar360(Asc + Moon − Venus),reverse,O1,MSL,Hellenistic,,Sí,1A,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
163,lusby-traditional-0163,Vida 2b,Life 2b,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,O2,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
164,lusby-traditional-0164,Vida 2c,Life 2c,,Asc,Saturn,Venus,normalizar360(Asc + Saturn − Venus),normalizar360(Asc + Venus − Saturn),reverse,O2,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
165,lusby-traditional-0165,Vida 2d,Life 2d,,Asc,Venus,Fortune,normalizar360(Asc + Venus − Fortune),normalizar360(Asc + Fortune − Venus),reverse,O2,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
166,lusby-traditional-0166,Vida o muerte del ausente,Life or Death of Absent,,Asc,Mars,Moon,normalizar360(Asc + Mars − Moon),normalizar360(Asc + Mars − Moon),,B,,"Medieval, Horary",,,,pending_review,
167,lusby-traditional-0167,Linaje,Lineage,,Mercury,Mars,Saturn,normalizar360(Mercury + Mars − Saturn),normalizar360(Mercury + Saturn − Mars),reverse,GI,,Medieval,,,,pending_review,
168,lusby-traditional-0168,Sustento (Dorotheus),Livelihood (Dorotheus),Wealth,Asc,2nd,Ruler 2nd,normalizar360(Asc + 2nd − Ruler 2nd),normalizar360(Asc + 2nd − Ruler 2nd),,DS,"HT, RE, MSL, MSP, MSV, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Códigos sin entrada inequívoca en Sources: HT. No se expandieron por suposición.
169,lusby-traditional-0169,Sustento 2,Livelihood 2,,Asc,Saturn,Venus,normalizar360(Asc + Saturn − Venus),normalizar360(Asc + Venus − Saturn),reverse,O1,"MSL, MSP, MSV",Hellenistic,,,,pending_review,
170,lusby-traditional-0170,Sustento 3,Livelihood 3,,Asc,Asc,Sun,normalizar360(Asc + Asc − Sun),normalizar360(Asc + Asc − Sun),,O2,"MSR, MSP, MSV",Hellenistic,,,,pending_review,
171,lusby-traditional-0171,Sustento 4,Livelihood 4,,Asc,Moon,Venus,normalizar360(Asc + Moon − Venus),normalizar360(Asc + Venus − Moon),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
172,lusby-traditional-0172,Préstamos,Loans,,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Mercury − Saturn),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
173,lusby-traditional-0173,Lógica y razón,Logic & Reason,,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,GI,R,Medieval,,,,pending_review,
174,lusby-traditional-0174,Longevidad,Longevity,,Asc,Moon,Jupiter,normalizar360(Asc + Moon − Jupiter),normalizar360(Asc + Jupiter − Moon),reverse,LJ,,Medieval,,,,pending_review,
175,lusby-traditional-0175,Señores y amos,Lords and Masters,,Moon,Saturn,Jupiter,normalizar360(Moon + Saturn − Jupiter),normalizar360(Moon + Saturn − Jupiter),,B,,"Medieval, Horary",,,,pending_review,
176,lusby-traditional-0176,Animal perdido,Lost Animal,,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Mars − Sun),,B,,"Medieval, Horary",,,,pending_review,
177,lusby-traditional-0177,Amante de una mujer,Lover of a Woman,,Asc,Moon,Jupiter,normalizar360(Asc + Moon − Jupiter),normalizar360(Asc + Jupiter − Moon),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
178,lusby-traditional-0178,Amantes,Lovers,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Venus − Jupiter),,JZ,,Medieval,,,,pending_review,
179,lusby-traditional-0179,Hijos varones (Dorotheus; versión china),Male Children (Dorotheus - Chinese),,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Jupiter − Sun),,LJ,,Medieval,,,,pending_review,"Se conserva el nombre inglés del documento, incluidas sus grafías; la traducción es editorial y revisable."
180,lusby-traditional-0180,Hijos varones (Dorotheus),Male Children (Dorotheus),,Asc,Sun,Jupiter,normalizar360(Asc + Sun − Jupiter),normalizar360(Asc + Sun − Jupiter),,DS,,Hellenistic,,,,pending_review,
181,lusby-traditional-0181,Hijos varones (Hermes),Male Children (Hermes),,Asc,Jupiter,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (MSL),MSL,"BA, SB, GI, Q","Hellenistic, Medieval",,,,conditional,Regla nocturna especial: reverse (MSL). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
182,lusby-traditional-0182,Hijos varones (persa/Theophilus),Male Children (Persian/Theophilus),,Asc,Saturn,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (Persians),GI,,Medieval,,,,conditional,Regla nocturna especial: reverse (Persians). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
183,lusby-traditional-0183,Hijos varones (Valens),Male Children (Valens),,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Mercury − Jupiter),,VV,,Hellenistic,,,,pending_review,
184,lusby-traditional-0184,Trabajadores manuales y actividades comerciales,Manual Workers & Commercial Activities,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,GI,,Medieval,,,,pending_review,
185,lusby-traditional-0185,Matrimonio (Firmicus),Marriage (Firmicus),Time of Marriage,Asc,Moon,Sun,normalizar360(Asc + Moon − Sun),normalizar360(Asc + Moon − Sun),,FM,"MSL, GI, Q","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
186,lusby-traditional-0186,Matrimonio (horaria),Marriage (Horary),,Asc,Ruler Dsc,Dsc,normalizar360(Asc + Ruler Dsc − Dsc),normalizar360(Asc + Ruler Dsc − Dsc),,UT,B,"Medieval, Horary",,,,pending_review,
187,lusby-traditional-0187,"Matrimonio (hombres, según Dorotheus)","Marriage (Men, a/t Dorotheus)",Union,Asc,Venus,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (FM, MSL, AO)",DS,"PA, FM, O2, MSL, MSP, MSV, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,"El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Códigos sin entrada inequívoca en Sources: AO. No se expandieron por suposición. | Regla nocturna especial: reverse (FM, MSL, AO). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
188,lusby-traditional-0188,"Matrimonio (hombres, según Valens)","Marriage (Men, a/t Valens)","Fornication; Men's Deception, Adultery, etc.",Asc,Venus,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,day (AO),VV,"MSL, MSV, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Códigos sin entrada inequívoca en Sources: AO. No se expandieron por suposición. | Regla nocturna especial: day (AO). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
189,lusby-traditional-0189,Matrimonio (Valens),Marriage (Valens),,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,VV,,"Hellenistic, Medieval",,,,pending_review,
190,lusby-traditional-0190,"Matrimonio (mujeres, según Dorotheus)","Marriage (Women, a/t Dorotheus)",,Asc,Saturn,Venus,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (MSL),DS,"PA, O2, MSL, MSP, MSV, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,conditional,Regla nocturna especial: reverse (MSL). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
191,lusby-traditional-0191,"Matrimonio (mujeres, según Valens)","Marriage (Women, a/t Valens)","Fornication; Women's Deception, Fornication, etc.",Asc,Mars,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,night (AO),VV,"MSL, MSV, SB, GI, Q","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Códigos sin entrada inequívoca en Sources: AO. No se expandieron por suposición. | Regla nocturna especial: night (AO). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
192,lusby-traditional-0192,Carne,Meat,,Asc,Jupiter,Moon,normalizar360(Asc + Jupiter − Moon),normalizar360(Asc + Moon − Jupiter),reverse,B,,"Medieval, Commodity",,,,pending_review,
